日期,場次,名次,馬場/跑道/賽道,途程,場地狀況,賽事班次,檔位,騎師,實際負磅,沿途走位,完成時間,該仗步速,第一名,第二名,第三名,該仗末段
2025-01-05,327,08,"沙田草地""C+3""",1400,好,3,4,蔡明紹,119,1 1 1 8,1.22.89,1:00.28,包裝福星,鈦易搵,有目共賞,22.61
2025-01-31,397,06,"沙田草地""B+2""",1400,好,3,12,蔡明紹,123,1 1 1 6,1.22.12,58.27,包裝福星,不同世界,穿甲戰鷹,23.85
2025-02-23,454,09,"沙田草地""A""",1400,好,3,3,巫顯東,116,2 1 2 9,1.21.69,57.83,至尊高超,穿甲戰鷹,樂勝天下,23.86
2025-03-15,513,10,"沙田草地""C+3""",1400,好/黏,3,12,蔡明紹,118,3 3 3 10,1.23.10,58.57,至尊高超,光年八十,瑪瑙,24.37
2025-05-07,656,12,"跑馬地草地""A""",1650,好,4,3,蔡明紹,133,2 3 4 12,1.41.51,1:15.73,大學生,論文,銀騰,25.5
2025-11-15,183,01,"沙田草地""A+3""",1400,好,4,10,蔡明紹,131,2 3 5 1,1.22.25,58.72,鬥志波,黃金騎士,大數據,23.29
2025-12-07,244,05,"沙田草地""C+3""",1400,好,3,4,蔡明紹,116,6 9 8 5,1.22.31,58.50,小鳥天堂,喜尊龍,準輝煌,23.29
2026-01-04,324,08,"沙田草地""C""",1600,好,3,8,蔡明紹,118,2 4 4 8,1.35.69,1:11.65,開心勇駒,榮駿大道,高高至高,23.68
2026-02-01,404,10,"沙田草地""B+2""",1400,好,3,14,蔡明紹,115,10 14 14 10,1.22.10,58.30,綠野飛馳,韋金主,新力好,22.72
